"program";"beneficient";"project_value";"cofinancing_value";"category";"many_administrative_units";"thumbnailImageUrl";"thumbnailImageUrl_wojewodztwo";"url";"outside_id";"powiat";"thumbnailImageUrl_program";"dzialanie";"fundusz";"perspektywa";"opisProjektu"
"„Rewitalizacja Pałacu w Jerzmanowej etap I - Remont dachu oraz uporządkowanie działki”";"GMINA JERZMANOWA";"967827.39";"676512.28";"kultura i sztuka";"NIE";"https://mapadotacji.gov.pl/wp-content/themes/mapa-dotacji/img/projects/thumb2.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/753511/";"753511";"głogowski";"Regionalny Program Operacyjny Województwa Dolnośląskiego 2014-2020";"4.3. Dziedzictwo kulturowe";"Europejski Fundusz Rozwoju Regionalnego";"2014 - 2020";"<p>Projekt realizowany będzie przez Gm.Jerzmanowa w 2016r do III kw.2017r. Projekt nie jest realizowany w partnerstwie/konsorcjum, nie jest objęty schematem pomocy publicznej. Projekt dotyczy dwóch obiektów wpisanych do rejestru zabytków (Pałac – wpisany do rejestru zabytków pod nr A/2921/168/318/L z dn. 15.03. 1961r. Park – wpisany do rejestru zabytków pod nr A/2922/563/L z 6.05.1980 r.), jest pierwszym etapem szerszego przedsięwzięcia i polega na realizacji zadań: 1.Remont dachu 2.Uporządkowanie otoczenia 3.Zakup kamery ze statywem 4.Promocja: zakup tablicy infor.-pamiątkowej,zakup usługi stworzenia wirtualnego spaceru po posiadłości. Zadania będą realizowane przez zleceniobiorców wyłonionych w procedurach konkurencyjnych. Projekt odpowiada na zidentyfikowane potrzeby odbiorców, tj. mieszkańców gminy Jerzmanowa, pracowników Urzędu i jednostek podległych, turystów, podmiotów gosp. Celem głównym projektu jest ochrona i wzrost atrakcyjności zabytkowego Pałacu w Jerzmanowej i jego otoczenia, a tym samym wzrost jego wykorzystania przez mieszkańców i turystów gminy. Cel realizowany będzie przez cele szczegółowe: – zabezpieczenie budynku przed dalszą degradacją, przeciekami, wilgocią, przemarznięciem, zwierzętami, – wzrost efektywności energetycznej budynku, – zabezpieczenie i uporządkowanie otoczenia budynku, – wzrost bezpieczeństwa użytkowania budynku i jego otoczenia przez pracowników, mieszkańców i turystów gminy. Cele projektu zgodne są z celami RPO WD na lata 2014-2020, realizują założenia Strategii Rozwoju Gm.Jerzmanowa. Projekt jest komplementarny do dotychczas zrealizowanych inwestycji związanych z tworzeniem miejsc promocji i rozwoju tradycji i kultury na terenie Gminy Jerzmanowa. Projekt realizowany jest na działce i w obiekcie będącymi własnością Wnioskodawcy, posiada pozwolenie na budowę. Projekt wdrażany będzie przez osoby będące pracownikami Urzędu Gminy Jerzmanowa, posiadającymi odpowiednią wiedzę, wykształcenie i doświadczenie w rea</p>"
"Poprawa konkurencyjności zasobów kulturowych Gminy Marcinowice poprzez modernizację Kościoła pw. Wszystkich Świętych w Strzelcach wraz z organami, Kościoła pw. Matki Boskiej Różańcowej w Szczepanowie wraz z organami, Kościoła pw. Matki Bożej Szkaplerznej w Zebrzydowie, Kościoła pw. św. Michała Archanioła w Wirach wraz z wyposażeniem w sprzęt multimedialny.";"PARAFIA RZYMSKOKATOLICKA PW. WSZYSTKICH ŚWIĘTYCH W STRZELCACH";"864684.75";"671024.41";"kultura i sztuka";"NIE";"https://mapadotacji.gov.pl/wp-content/themes/mapa-dotacji/img/projects/thumb2.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/753570/";"753570";"świdnicki (dolnośląskie)";"Regionalny Program Operacyjny Województwa Dolnośląskiego 2014-2020";"4.3. Dziedzictwo kulturowe";"Europejski Fundusz Rozwoju Regionalnego";"2014 - 2020";"<p>Projekt zakłada poprawę konkurencyjności zasobów kulturowych Gminy Marcinowice poprzez modernizację: – Kościoła pw. Wszystkich Świętych w Strzelcach wraz z organami, – Kościoła pw. Matki Boskiej Różańcowej w Szczepanowie wraz z organami, – Kościoła pw. Matki Bożej Szkaplerznej w Zebrzydowie, – Kościoła pw. św. Michała Archanioła w Wirach wraz z wyposażeniem w sprzęt multimedialny i ze specjalnie opracowanymi aplikacjami multimedialnymi i materiałami filmowymi, ułatwiającymi prezentację i odbiór dziedzictwa kulturowego gminy i okolic. Realizacja projektu wzbogaci ofertę gminy o nowe obiekty turystyczne i kulturalne oraz o nową multimedialną ofertę wystawienniczą, a także o ofertę muzyczną i animacji teatralnych. Rozwój oferty umożliwi również zachęcenie większej liczby osób do zwiedzenia zabytkowych obiektów. Planowanymi produktami projektu są: 1) remont 4 zabytkowych kościołów, 2) remont 2 organów, 3) zakup sprzętu multimedialnego. Planowanym rezultatem projektu jest wzrost liczby odwiedzających obiekty – lokalnego dziedzictwa kultury. Grupami docelowymi projektu są: wszyscy mieszkańcy gminy Marcinowice (w tym dzieci i młodzież szkolna) oraz turyści w szczególności odwiedzający Górę Ślężę. Realizacja projektu przyczyni się do promocji lokalnego dziedzictwa kulturowego oraz wzmocni potencjał turystyczny regionu.</p>"
"Remont, rozbudowa, przebudowa Gminnego Centrum Kultury i Sportu w Trzebnicy wraz z zakupem wyposażenia do studia nagrań";"GMINNE CENTRUM KULTURY I SPORTU W TRZEBNICY";"3571953.25";"597025.98";"kultura i sztuka";"NIE";"https://mapadotacji.gov.pl/wp-content/themes/mapa-dotacji/img/projects/thumb2.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/753546/";"753546";"trzebnicki";"Regionalny Program Operacyjny Województwa Dolnośląskiego 2014-2020";"4.3. Dziedzictwo kulturowe";"Europejski Fundusz Rozwoju Regionalnego";"2014 - 2020";"<p>Projekt jest realizowany w województwie dolnośląskim, w powiecie trzebnickim, gminie Trzebnica, w mieście Trzebnica. Zakres rzeczowy przewidziany niniejszym wnioskiem o dofinansowanie stanowi część projektu: Rozbudowa i przebudowa wraz z termomodernizacją i wyposażeniem Gminnego Centrum Kultury i Sportu w Trzebnicy. Inwestycja przebiegała w trzech etapach: I etap – rozbudowa, przebudowa i remont budynku Gminnego Centrum Kultury i Sport wraz zakupem wyposażenia sali studia nagrań (objęty projektem) II etap – termomodernizacja budynku (nieobjęty projektem) III etap – wyposażenie GCKiS (nieobjęty projektem). Zakres rzeczowy obejmuje prace budowlane prowadzone w latach 2014-2016 dotyczące przebudowy i rozbudowy budynku głównego ośrodka, budynku sali wielofunkcyjnej z rozbudową, budowy sieci wewnętrznych: wodociągowej, kanalizacji sanitarnej i deszczowej, elektroenergetycznej. Zakres rzeczowy obejmuje także zakup wyposażenia do studia nagrań. Projekt znajduje się w końcowej fazie realizacji. Wnioskodawcą, Inwestorem, Beneficjentem i Operatorem przedmiotowej inwestycji będzie GCKiS w Trzebnicy, samorządowa instytucja kultury, dla której organem założycielskim jest Gmina Trzebnica. Mimo, iż GCKiS posiada osobowość prawną, nadzór nad jej działalnością i finansowanie zapewnia Gmina Trzebnica, posiadająca bardzo duże doświadczenie w realizacji projektów współfinansowanych środkami UE. Wnioskodawca w całym procesie inwestycyjnym był wspierany przez pracowników UM w Trzebnicy, który będzie także realizował nadzór nad prawidłową eksploatacją produktów projektu w okresie trwałości. Bezpośrednio projektem zarządza Dyrektor GCKiS wspierany przez Księgowość GCKiS, Urząd Miejski w Trzebnicy. W fazie robót budowlanych nad prawidłowym ich przebiegiem czuwał inspektor nadzoru inwestorskiego. W projekcie nie występuje pomoc publiczna, nie jest to też projekt duży. Wydatki całkowite wynoszą 3 596 708,92 PLN brutto. Wydatki kwalifikowalne wynoszą 1 815 007,48.</p>"
"Przebudowa obiektu ośrodka kultury zajmowanego przez Centrum Kultury, Sportu i Turystyki w Świerzawie";"GMINA ŚWIERZAWA";"764992.39";"557125.45";"kultura i sztuka";"NIE";"https://mapadotacji.gov.pl/wp-content/themes/mapa-dotacji/img/projects/thumb2.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/753558/";"753558";"złotoryjski";"Regionalny Program Operacyjny Województwa Dolnośląskiego 2014-2020";"4.3. Dziedzictwo kulturowe";"Europejski Fundusz Rozwoju Regionalnego";"2014 - 2020";"<p>Przedmiotowy projekt dotyczy przebudowy obiektu ośrodka kultury, zarządzanego przez gminną jednostkę kultury – Centrum Kultury, Sportu i Turystyki w Świerzawie oraz jego wyposażenia w sprzęt niezbędny do prowadzenia działalności kulturowej. Celem projektu jest zwiększenie dostępności do infrastruktury kulturalnej Gminy Świerzawa, poprzez wzrost jakości oferty kulturalnej gminy oraz poprawę bezpieczeństwa oraz warunków korzystania z tejże oferty. Dzięki realizacji przedsięwzięcia powstanie obiekt kulturowy o niebanalnym charakterze – jednostka nowoczesna, wykorzystująca możliwości współczesnej techniki oraz aktualnie dostępne środki przekazu. Projekt zakłada wewnętrzną przebudowę sali widowiskowej wraz z zapleczem celem poszerzenia oferty kulturalnej Centrum Kultury, Sportu i Turystyki. W ramach przedsięwzięcia przebudowana zostanie scena, pomieszczenia biurowe, garderoby oraz tzw. mała sala spotkań. Wymieniona zostanie instalacja c.o. oraz zamontowany system wentylacyjny. Zamontowany zostanie kiosk informatyczny. Zakupiony zostanie sprzęt kinowy (projektor + nagłośnienie) oraz sprzęt do zajęć fitness. W projekcie przewidziano również rozwiązania bezpośrednio ułatwiające dostęp do kultury osobom niepełnosprawnym – do przedmiotowego budynku dobudowany zostanie podjazd dla wózków (z podjazdu będą mogły również korzystać osoby starsza, niedołężne, jak i matki z dziećmi), stworzona zostanie również oferta wydarzeń kulturowych zmierzających do integracji tej części społeczeństwa (np. podczas zajęć/imprez wykorzystywane będzie tłumaczenie na język migowy). Wnioskodawcą i inwestorem w projekcie jest Gmina Świerzawa natomiast operatorem powstałej infrastruktury i realizatorem działań wynikających z celów projektu będzie Centrum Kultury, Sportu i Turystyki w Świerzawie. Projekt nie będzie generował przychodów, zatem dofinansowanie dla projektu 85% kosztów kwalifikowanych.</p>"
"Dostosowanie obiektu świetlicy wiejskiej w Pszennie do prowadzenia nowych form działalności kulturalnej przez Gminny Ośrodek Kultury Sportu i Rekreacji w Świdnicy";"GMINNY OŚRODEK KULTURY SPORTU I REKREACJI W ŚWIDNICY";"1205815.77";"522323.98";"kultura i sztuka";"NIE";"https://mapadotacji.gov.pl/wp-content/themes/mapa-dotacji/img/projects/thumb2.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/1359218/";"1359218";"świdnicki (dolnośląskie)";"Regionalny Program Operacyjny Województwa Dolnośląskiego 2014-2020";"4.3. Dziedzictwo kulturowe";"Europejski Fundusz Rozwoju Regionalnego";"2014 - 2020";"<p>Przedmiotem projektu jest modernizacja obiektu świetlicy wiejskiej w Pszennie i doposażenia go dla rozwoju oferty odpowiadającej na nowe potrzeby w obszarze działalności kulturalnej. Projekt podzielono na dwa zadania: 1 – Modernizacja i wyposażenie świetlicy wiejskiej w Pszennie 2 – Działania promocyjne Celem projektu jest zwiększenie dostępności mieszkańcom Gminy Świdnica do zasobów kulturowych regionu oferowanych przez Gminny Ośrodek Kultury Sportu i Rekreacji w Świdnicy. Projekt przyczyni się do poprawy estetyki obiektu świetlicy wiejskiej w Pszennie i tworzy przestrzeń dla nowych form działalności kulturalnej. Wytworzona infrastruktura będzie dostosowana do potrzeb osób niepełnosprawnych. Wnioskodawcą, inwestorem, beneficjentem oraz podmiotem realizującym jest samorządowa instytucja kultury – Gminny Ośrodek Kultury Sportu i Rekreacji w Świdnicy z siedzibą przy ul. B. Głowackiego 4, 58-100 Świdnica. Instytucja ta będzie również operatorem. Projekt adresowany jest do szerokiej grupy odbiorców: dzieci, młodzieży, dorosłych i starszych. W głównej mierze odbiorcami projektu będą mieszkańcy Gminy Świdnica, ze szczególnym uwzględnieniem mieszkańców wsi Pszenno, dla których świetlica wiejska jest miejscem spotkań i przestrzenią dającą możliwość odpoczynku i rozwoju w kontakcie z kulturą. Projekt adresowany jest też do osób przebywających czasowo w obiekcie (turyści z Dolnego Śląska, szczególnie z ZIT AW), którzy dzięki atrakcyjnej ofercie kulturalnej będą postrzegać to miejsce jako atrakcyjne pod kątem turystyki kulturowej.</p>"
"Rozszerzenie oferty kulturalnej i unowocześnienie biblioteki w celu poprawy standardów jakości świadczonych usług w Centrum Kultury.";"CENTRUM KULTURY W JEDLINIE-ZDROJU";"823274.07";"505680.04";"kultura i sztuka";"NIE";"https://mapadotacji.gov.pl/wp-content/themes/mapa-dotacji/img/projects/thumb2.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/1185700/";"1185700";"wałbrzyski";"Regionalny Program Operacyjny Województwa Dolnośląskiego 2014-2020";"4.3. Dziedzictwo kulturowe";"Europejski Fundusz Rozwoju Regionalnego";"2014 - 2020";"<p>Realizacja projektu zakłada poprawę standardów jakości usług odbiorców poprzez: 1. modernizację dwóch salek Centrum Kultury, które będą przeznaczone na salkę do prowadzenia zajęć ruchowych i filmowo-teatralnych, 2. adaptację Pawilonu Zdrojowego położonego przy Pl. Zdrojowym 4A na nowoczesną bibliotekę, a także 3. wprowadzenie rozwiązań energooszczędnych poprzez montaż paneli fotowoltaicznych oraz wymianę oświetlenia. W ramach niniejszego projektu zostaną zakupione m.in. meble, regały,sprzęt informatyczny i multimedialny oraz panele fotowoltaiczne. Niniejszy projekt przewiduje następujący zakres prac: a)zmodernizowane zostaną dwie salki do zajęć oraz korytarz na parterze budynku Centrum Kultury przy ul. Piastowskiej 13 poprzez pomalowanie ścian, położenie podłogi, zakup mebli i wyposażenia, komputerów oraz sprzętu multimedialnego, b)zaadaptowany zostanie Pawilon Zdrojowy na potrzeby nowoczesnej biblioteki poprzez pomalowanie ścian, położenie podłogi, wykonanie sieci teleinformatycznej i monitoringu, zakup komputerów, sprzętu multimedialnego oraz mebli, c)zamontowane zostaną energooszczędne źródła oświetlenia oraz instalacja fotowoltaiczna w budynku. Przedsięwzięcie obejmuje działki nr 234/4 oraz 60/4,obręb Jedlina-Zdrój. Grupą docelową projektu są dzieci, młodzież, osoby dorosłe oraz seniorzy, będący mieszkańcami aglomeracji wałbrzyskiej oraz odwiedzający kuracjusze i turyści. Zmiana lokalizacji i poprawa warunków lokalowych biblioteki miejskiej oraz zwiększenie oferty kulturalnej poprzez uruchomienie nowych zajęć w Centrum Kultury poszerzy zakres i podniesie jakość świadczonych usług, co razem z wprowadzeniem rozwiązań energooszczędnych, sprzyjających ochronie środowiska przyczyni się niewątpliwie do pozytywnego wizerunku miasta i regionu wśród turystów oraz inwestorów. Wartość projektu wynosi 594 917,69 zł, jego realizatorem i decydentem będzie dyrektor Centrum Kultury w Jedlinie-Zdroju.</p>"
"Remont dachu neogotyckiego kościoła p.w. Św. Jadwigi w Dobroszycach";"PARAFIA RZYMSKO - KATOLICKA PW. ŚW. JADWIGI W DOBROSZYCACH";"467947.4";"397755.3";"kultura i sztuka";"NIE";"https://mapadotacji.gov.pl/wp-content/themes/mapa-dotacji/img/projects/thumb2.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/753520/";"753520";"oleśnicki";"Regionalny Program Operacyjny Województwa Dolnośląskiego 2014-2020";"4.3. Dziedzictwo kulturowe";"Europejski Fundusz Rozwoju Regionalnego";"2014 - 2020";"<p>Przedmiotem Projektu jest kompleksowy remont dachu neogotyckiego kościoła pw. św. Jadwigi w Dobroszycach oraz zapewnienie dostępu do informacji turystycznej dla wiernych uczęszczających do kościoła oraz innych osób zainteresowanych wartością historyczną, kulturotwórczą i religijną zabytkowego obiektu. Neogotycki kościół pw św. Jadwigi w Dobroszycach stanowi element zwartego kompleksu budynków dawnego sierocińca autorstwa znanego wrocławskiego architekta Josefa Ebersa (ówczesny radca budowlany kurii metropolitalnej, budowniczy bardzo wielu budynków charakterystycznych dla Wrocławia i okolic). Kompleks budynków wpisany jest do rejestru zabytków województwa dolnośląskiego decyzją nr A/1337/629/W z dnia 31.01.1990r. Projekt będzie realizowała Parafia. Remont dachu i udostępnienie multimedialnej informacji turystycznej będzie pierwszym etapem rewitalizacji neogotyckiego kościoła pw św. Jadwigi w Dobroszycach przy ul. Czereśniowej 12. Parafia planuje w najbliższym czasie dostosować dostęp do obiektu dla osób niepełnosprawnych poprzez wykonanie podjazdu oraz odrestaurować ołtarz, a w dalszej perspektywie zabytkowe organy kościoła. W wyniku realizacji projektu uratuje się przed dewastacją i przywróci do ruchu turystycznego budynek zabytkowy neogotyckiego kościoła pw. Św. Jadwigi w Dobroszycach, stanowiący dowód dolnośląskiego dziedzictwa kulturowego (wskaźnik produktu: 1 szt. zabytku nieruchomego objętego wsparciem osiągnięty w 2017r). Planuje się, że odrestaurowany budynek zwiedzi 1000 osób w skali roku, które to osoby za pośrednictwem infokiosku będą mogły zapoznać się z historią obiektu i regionu, kultem św. Jadwigi, szlakiem cysterskim oraz zlokalizowanymi w kościele atrakcjami religijnymi i kulturowymi. Wskaźnik rezultatu, jaki będzie monitorowany to: wzrost oczekiwanej liczby odwiedzin w objętych wsparciem miejscach należących do dziedzictwa kulturowego i naturalnego oraz stanowiące atrakcje turystyczne – 1000 odwiedzin/rok, osiągnięty w 2018r.</p>"
"Modernizacja Zabytkowej Świetlicy i Biblioteki w miejscowości Zarzyca";"GMINA KONDRATOWICE";"318289.87";"245052.69";"kultura i sztuka";"NIE";"https://mapadotacji.gov.pl/wp-content/themes/mapa-dotacji/img/projects/thumb2.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/753532/";"753532";"strzeliński";"Regionalny Program Operacyjny Województwa Dolnośląskiego 2014-2020";"4.3. Dziedzictwo kulturowe";"Europejski Fundusz Rozwoju Regionalnego";"2014 - 2020";"<p>Projekt, który jest tu analizowany wynika z potrzeby zachowania zabytkowego obiektu dla kolejnych pokoleń. Brak realizacji spowoduje całkowitą degradację obiektu i zaprzestanie jego użytkowania. Suma kontrolna: A1C8-04E0-5E30-E440 3 / 52 Budynek usytuowany jest w Zarzycy, wsi położona na zach. stokach Wzgórz Lipowych nad potokiem płynącym w głębokim wąwozie w gminie Kondratowice powiat Strzelin. Budynek Nr 29 to pałac zbudowany w XVIII w. Był to budynek założony na planie litery L, kryty dachami dwuspadowymi z lukarnami pokrytymi dachówką. Po przebudowie w XIX w. z budynku pozostało jedno skrzydło z ryzalitem akcentujący wejście do budynku. Ryzalit zwieńczony jest ozdobnym trójkątnym szczytem. Drzwi wejściowe ozdobione są dodatkowo niby tympanonem na kolumnach. Na szczytowej ścianie wschodniej istnieje ciekawy drewniany wykusz. Wewnątrz ze starych elementów pozostały schody prowadzące na piętro. W XX w wnętrze budynek był poddawany wielu remontom i przebudową. Obiekt jest budynkiem dwukondygnacyjnym z poddaszem użytkowym. Obecnie w budynku znajdują się świetlica i biblioteka wiejska oraz mieszkania socjalne (projekt nie dotyczy mieszkań socjalnych). Budynek wpisany jest do rejestru zabytków pod numerem: 380/1614 z 08.04.1966r. Planowane do osiągnięcia wskaźniki: Liczba zabytków nieruchomych objętych wsparciem – 1 szt, Liczba zabytków nieruchomych objętych wsparciem – 5120 osób, Odnowione miejsce aktywności kulturalnej mieszkańców Gminy – 1 szt, Liczba imprez o charakterze kulturalnym – 5 szt. Bezpośrednim odbiorcą projektu są mieszkańcy Gminy Kondratowice, w której zlokalizowany jest projekt. Grupą docelową projektu są osoby korzystające z zabytkowej świetlicy i filii Biblioteki w Zarzycy. Numer, pod którym wpisano zabytek:380/1614 z 08.04.1966r. Zakres zadań w projekcie jest następujący: 1.Opracowanie dokumentacji projektowej – zadanie zakończone w 2015 roku. 2.Opracowanie studium wykonalności i wniosku o dofinansowanie- zadanie zakończone</p>"
"REMONT DREWNIANEJ KONSTRUKCJI I POKRYCIA WIEŻY KOŚCIOŁA PARAFIALNEGO ŚW. JANA CHRZCICIELA W KSIĘGINICACH WIELKICH";"PARAFIA RZYMSKO-KATOLICKA P.W. ŚW. JANA CHRZCICIELA W KSIĘGINICACH WIELKICH";"288898.17";"237722.2";"kultura i sztuka";"NIE";"https://mapadotacji.gov.pl/wp-content/themes/mapa-dotacji/img/projects/thumb2.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/753543/";"753543";"strzeliński";"Regionalny Program Operacyjny Województwa Dolnośląskiego 2014-2020";"4.3. Dziedzictwo kulturowe";"Europejski Fundusz Rozwoju Regionalnego";"2014 - 2020";"<p>Przedmiotem realizacji projektu wnioskodawcy jest remont wieży kościoła filialnego pw. Św. Jana Chrzciciela w Księginicach Wielkich. Realizacja projektu będzie przebiegać w ramach wykonania zaplanowanych trzech zadań: Prace remontowe przy wieży kościoła, informacja i promocja. Wszelkie zaplanowane prace budowlane zostaną zrealizowane w ramach jednego zadania, w ramach którego obiekt zostanie wyposażony w nową infrastrukturę techniczną. Dzięki realizacji projektu poprawi się dostęp do przedmiotowego obiektu. Realizacja inwestycji przyczyni się do realizacji założeń projektu tj. zachowania dziedzictwa kulturowego dla przyszłych pokoleń oraz podniesienia atrakcyjności turystycznej regionu. Realizacja projektu w pozytywny sposób wpłynie na jakość oferty turystycznej regionu, pozwoli również na wykorzystanie potencjału kultury i dziedzictwa kulturowego dla podniesienia atrakcyjności regionu na rynku krajowym. Inwestycja niesie za sobą szereg korzyści społecznych, ale również pośrednio ekonomicznych, gdyż wpłynie na wzrost znaczenia turystyki i kultury jako czynnika inicjującego rozwój gospodarczy i społeczny Dolnego Śląska. Wykonane prace wpłyną na poprawę użyteczności obiektu, co w dużym topniu przyczyni się do polepszenia warunków zwiedzania. Wnioskodawca w ramach projektu deklaruje osiągnięcie jednego wskaźnika produktu: L. zabytków nieruchomych objętych wsparciem i jednego rezultatu:wzrost oczekiwanej l. odwiedzin. W efekcie realizacji projektu przed degradacją uchroniony zostanie wyjątkowy zabytek i tym samym nastąpi ochrona dziedzictwa kulturowego.</p>"
"Rewitalizacja budynku Wieży Głogowskiej w m. Góra";"GMINA GÓRA";"308238.22";"221254.64";"kultura i sztuka";"NIE";"https://mapadotacji.gov.pl/wp-content/themes/mapa-dotacji/img/projects/thumb2.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/753514/";"753514";"górowski";"Regionalny Program Operacyjny Województwa Dolnośląskiego 2014-2020";"4.3. Dziedzictwo kulturowe";"Europejski Fundusz Rozwoju Regionalnego";"2014 - 2020";"<p>W ramach projektu planuje się rewitalizację Wieży Głogowskiej w Górze przy ul. Głogowskiej, w celu jej udostępnienia do zwiedzania, jako wieży widokowej oraz jako miejsca prezentacji wystaw dotyczących historii miasta oraz miejsca inscenizacji historycznych. Wieża Głogowska zbudowana w XV w. pełniła rolę wieży obronnej przy Bramie Głogowskiej, wpisana do rejestru zabytków decyzja nr A/3730/853 z dnia 17.02.1961. Lokalizacja Wieży w samym centrum miasta czyni ją dostępną dla turystów i przechodniów. Wieża powrócić ma do społecznej przestrzeni miasta jako dominanta będąca materialnym śladem elementu z herbu miasta. Do tej pory wieża była niedostępna dla zwiedzających. Pomieszczenia wewnątrz wieży mają być udostępniane w celu podziwiania panoramy miasta, zwiedzania, prezentacji wystaw dotyczących historii miasta oraz inscenizacji historycznych. Dodatkowo planuje się powrót do tradycji – zegar miejski wybijał będzie pełne godziny, a raz dziennie odgrywany będzie hejnał Góry. Rewitalizacja będzie obejmowała wykonanie prac we wnętrzu obiektu: naprawę schodów, stropów, uzupełnienie poszycia deskowego w podłodze, wymianę podłogi sosnowej i wykonanie nowych podłóg z desek dębowych, oczyszczenie całej powierzchni murów, remont istniejących drzwi wejściowych, likwidację istniejącej instalacji elektrycznej z usunięciem starych przewodów i uzupełnieniem ubytków w murach i spoinach po starej instalacji, przeniesienie miejsca lokalizacji układu pomiarowego z zabezpieczeniem na poziom 0,wykonanie nowej natynkowej instalacji oświetlenia i gniazd, remont instalacji zegarowej, zamontowanie czterech nowych mechanizmów napędzających wskazówki na każdej tarczy sterowanych radiowo i regulowanych elektronicznie, wymianę na nowe wewnętrznych okiennic z żaluzjami na poziomie 6,naprawę drewnianych okien na poziomie 5 oraz wykonanie i osadzenie nowych okien na poziomie 2,3i4.Grupą docelową będą: turyści indywidualni oraz zorganizowane grupy turystyczne, wszyscy mieszkańcy miasta oraz dzieci.</p>"
"Modernizacja świetlicy w Strzelcach - miejsca wspierania kultury i sztuki ludowej";"GMINA DOBROSZYCE";"390677.55";"178970.26";"kultura i sztuka";"NIE";"https://mapadotacji.gov.pl/wp-content/themes/mapa-dotacji/img/projects/thumb2.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/753526/";"753526";"oleśnicki";"Regionalny Program Operacyjny Województwa Dolnośląskiego 2014-2020";"4.3. Dziedzictwo kulturowe";"Europejski Fundusz Rozwoju Regionalnego";"2014 - 2020";"<p>Projekt dotyczy modernizacji pomieszczeń filii Gminnego Centrum Kultury im. Anny Sojko w Dobroszycach – świetlicy w Strzelcach z lokalizacją Strzelce 27. Modernizacja budynku polegać będzie na realizacji w części: robót budowlanych dotyczących remontu i niewielkiej przebudowy wnętrz (węzeł sanitarny) oraz elewacji i przekrycia dachu, a także wyposażenia w zakresie planowanej działalności. Celami bezpośrednimi realizacji projektu będą: wsparcie, kultywowanie, rozpowszechnianie i zachowanie dziedzictwa kulturowego, jakim jest kultura i sztuka ludowa, wywodząca się z tradycji regionu i kraju. Generalnie grupą docelową będą mieszkańcy Gminy Suma kontrolna: 0AC1-F101-FCFC-087A 3 / 43 Dobroszyce, zakłada się wskaźnik odwiedzin na poziomie co najmniej 500 osób w skali roku. Zostaną zorganizowane co tygodniowe zajęcia plastyczne i taneczne dla każdej z grup wiekowych, na których uwaga skupiona będzie na przekazaniu i rozpowszechnianiu tradycyjnych wyrobów, dzieł i tańców ludowych. Odbywać się będą także warsztaty kulinarne wzbogacające wiedzę zainteresowanych w tradycyjne potrawy. Dzieła powstałe w trakcie zajęć plastycznych zostaną wystawione w zakupionych gablotach dla odwiedzających świetlicę. Co najmniej raz w tygodniu odbędzie się próba miejscowego zespołu ludowego „Uśmiech”, dla którego świetlica stanie się siedzibą, a który uświetni muzycznie każdą imprezę gminną, bawiąc śpiewem przy akompaniamencie zakupionego akordeonu i kultywując tradycję kulturową naszych przodków. Zajęcia, występy zostaną udokumentowane za pomocą aparatu fotograficznego, a planowany do zakupu sprzęt audiowizualny służył będzie przekazowi tradycji i zdobytej wiedzy odbiorcom. W ramach projektu planuje się zakupić następujące wyposażenie: – audiowizualne: telewizor, aparat fotograficzny, rzutnik cyfrowy,laptop – sceniczne: mikrofony dynamiczne ze statywami, przewody głośnikowe, mikser muzyczny, kolumny aktywne – w ramach prowadzenia zajęć zostaną zakupione: stoły, krzesł</p>"
